brand,prot,fat,ash,sodium,carb,cal
A,21.43,44.87,5.11,1.77,0.77,4.93
A,21.26,43.89,5.34,1.79,1.02,4.84
A,19.99,45.78,5.08,1.63,0.8,4.95
A,20.15,43.13,4.79,1.61,1.38,4.74
A,21.28,41.65,4.82,1.64,1.76,4.67
A,20.23,42.31,4.92,1.65,1.4,4.67
A,20.97,41.34,4.71,1.58,1.77,4.63
A,21.41,41.6,5.28,1.75,2.95,4.72
A,20.48,45.1,5.02,1.71,1.18,4.93
A,21.19,45.29,5.16,1.66,0.64,4.95
A,21.2,45.59,4.94,1.65,0.92,4.98
A,21.2,45.03,5.15,1.67,1.64,4.97
A,20,45.12,4.93,1.56,1.25,4.91
A,19.65,42.45,4.81,1.65,2.81,4.72
A,20.77,42.03,4.9,1.61,1.39,4.67
A,17.88,44.33,5.26,1.76,1.7,4.77
A,20.06,39.74,5.24,1.69,2.23,4.47
A,17.53,40.87,5.05,1.61,1.97,4.46
A,20.35,40.44,5.43,1.61,1.98,4.53
A,19.05,42.29,5.27,1.71,2.37,4.66
A,19.56,47.2,4.95,1.65,1.27,5.08
A,20.01,45.59,4.97,1.7,1.65,4.97
A,20.58,42.26,4.96,1.63,1.32,4.68
A,19.25,43.42,4.62,1.5,0.51,4.7
A,18.05,41.88,5.22,1.7,1.66,4.56
A,19.78,44.2,4.8,1.61,0.79,4.8
A,19.99,45.2,4.78,1.62,1.1,4.91
A,18.71,43.99,4.86,1.62,2.03,4.79
A,21.1,43.37,5.05,1.69,0.86,4.78
B,13.7,29.07,3.62,1.1,4.04,3.33
B,14.38,25.72,3.26,0.93,3.96,3.05
B,13.14,30.38,3.55,0.99,4.4,3.44
B,13.78,28.39,3.56,1,4.08,3.27
B,13.21,27.66,3.64,1,4.82,3.21
B,13.35,29.2,3.52,1.05,3.94,3.32
B,12.93,29.88,3.6,1.03,2.87,3.32
B,12.56,29.95,2.99,0.81,3.69,3.35
B,13.28,25.25,3.1,0.8,4.29,2.98
B,14.27,24.92,3.85,1.06,5.06,3.02
B,13.96,29.25,3.42,0.96,3.04,3.31
B,13.63,29.59,3.41,0.98,3.68,3.36
B,14.02,27.37,3.71,1.11,3.78,3.18
B,13.24,28.91,3.59,1.06,4.49,3.31
B,14.26,22.99,3.19,0.9,4.6,2.82
B,14.87,21.9,3.29,0.86,4.83,2.76
B,14.06,24.95,3.14,0.82,3.73,2.96
B,13.79,29.57,3.52,0.95,3.78,3.36
B,13.14,28.79,3.73,1.09,3.69,3.26
B,14.18,24.6,3.57,1.12,5.19,2.99
B,13.4,28.84,3.48,0.98,4.32,3.3
B,13.17,29.39,3.59,1.06,4.28,3.35
B,13.06,29.46,3.51,1.04,4.63,3.36
B,13.85,27.64,3.71,1.1,3.93,3.2
B,13.9,27.56,3.73,1.08,3.78,3.19
B,14.05,24.73,3.32,0.92,3.92,2.94
B,13.64,27.04,3.57,0.98,3.52,3.12
B,13.95,27.75,3.6,1.04,2.96,3.17
B,13.72,28.28,3.62,1.05,2.86,3.21
B,13.13,28.82,2.94,0.8,3.25,3.25
B,13.18,28.38,3.04,0.86,3.65,3.23
C,26.05,21.4,3.44,0.5,0.71,3
C,28.48,17.37,3.53,0.43,1.93,2.78
C,25.23,20.89,3.22,0.47,1.78,2.96
C,25.63,19.28,3.48,0.55,2.64,2.87
C,23.98,23.37,3,0.52,0.81,3.09
C,25.65,19.98,2.51,0.52,2.13,2.91
C,28.3,15.79,3.47,0.45,2.26,2.64
C,27.98,18.69,3.58,0.48,1.7,2.87
C,27.31,16.89,3.08,0.25,3,2.73
C,26.24,16.41,3.61,0.6,2.15,2.61
C,26.31,14.77,3.51,0.53,3.15,2.51
C,25.23,20.03,3.02,0.44,2.37,2.91
C,26.03,21.54,3.71,0.6,0.81,3.01
C,25.82,20.79,3.33,0.54,2.23,2.99
C,25.55,21.1,3.04,0.43,2.41,3.02
C,24.53,21.08,2.84,0.34,2.45,2.98
C,24.13,19.75,3.21,0.52,2.87,2.86
C,26,16.64,4.17,0.61,1,2.58
C,26.17,21.29,3.36,0.48,2.07,3.05
C,26.76,19.99,3.64,0.46,1.13,2.91
C,26.25,16.45,3.92,0.38,1.16,2.58
C,26.91,18,2.21,0.41,3.31,2.83
C,24.98,17.2,3.01,0.34,3.1,2.67
C,27.42,17.42,3.05,0.33,2.84,2.78
