fixed acidity,volatile acidity,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
7.4,0.7,11,34,0.9978,3.51,0.56
7.8,0.88,25,67,0.9968,3.2,0.6799999999999999
7.8,0.76,15,54,0.997,3.2600000000000002,0.65
11.2,0.28,17,60,0.998,3.16,0.58
7.4,0.7,11,34,0.9978,3.51,0.56
7.4,0.6599999999999999,13,40,0.9978,3.51,0.56
7.9,0.6,15,59,0.9964,3.3,0.46
7.3,0.65,15,21,0.9946,3.3899999999999997,0.47000000000000003
7.8,0.58,9,18,0.9968,3.36,0.5700000000000001
7.5,0.5,17,102,0.9978,3.3499999999999996,0.8
6.7,0.58,15,65,0.9959,3.2800000000000002,0.54
7.5,0.5,17,102,0.9978,3.3499999999999996,0.8
5.6,0.615,16,59,0.9943,3.58,0.52
8.9,0.62,52,145,0.9986,3.16,0.88
8.9,0.62,51,148,0.9986,3.17,0.93
8.5,0.28,35,103,0.9969,3.3,0.75
8.1,0.56,16,56,0.9968,3.11,1.28
7.4,0.59,6,29,0.9974,3.38,0.5
7.9,0.32,17,56,0.9969,3.04,1.08
8.9,0.22,29,60,0.9968,3.3899999999999997,0.53
7.6,0.39,23,71,0.9982,3.52,0.65
7.9,0.43000000000000005,10,37,0.9966,3.17,0.91
8.5,0.49,9,67,0.9968,3.17,0.53
6.9,0.4,21,40,0.9968,3.4299999999999997,0.63
6.3,0.39,11,23,0.9954999999999999,3.34,0.56
7.6,0.41000000000000003,4,11,0.9962,3.2800000000000002,0.59
7.9,0.43000000000000005,10,37,0.9966,3.17,0.91
7.1,0.71,14,35,0.9972,3.4699999999999998,0.55
7.8,0.645,8,16,0.9964,3.38,0.59
6.7,0.6749999999999999,17,82,0.9958,3.3499999999999996,0.54
6.9,0.6849999999999999,22,37,0.9966,3.46,0.5700000000000001
8.3,0.655,15,113,0.9966,3.17,0.6599999999999999
6.9,0.605,40,83,0.9993,3.4499999999999997,0.52
5.2,0.32,13,50,0.9957,3.38,0.55
7.8,0.645,5,18,0.9986,3.4,0.55
7.8,0.6,3,15,0.9974999999999999,3.42,0.6
8.1,0.38,13,30,0.9968,3.23,0.73
5.7,1.1300000000000001,7,19,0.994,3.5,0.48000000000000004
7.3,0.45,12,87,0.9978,3.3299999999999996,0.8300000000000001
7.3,0.45,12,87,0.9978,3.3299999999999996,0.8300000000000001
8.8,0.61,17,46,0.9976,3.2600000000000002,0.51
7.5,0.49,8,14,0.9968,3.21,0.9
8.1,0.6599999999999999,9,23,0.9968,3.3,1.2
6.8,0.6699999999999999,5,11,0.9962,3.48,0.52
7.7,0.935,22,114,0.997,3.25,0.73
8.7,0.29000000000000004,12,37,0.9969,3.25,0.58
6.4,0.4,5,12,0.9958,3.34,0.56
5.6,0.31,12,96,0.9954,3.32,0.58
8.8,0.6599999999999999,4,23,0.9971,3.15,0.74
6.6,0.52,8,15,0.9956,3.4,0.63
6.6,0.5,6,14,0.9954999999999999,3.3899999999999997,0.64
8.6,0.38,30,119,0.997,3.2,0.56
7.6,0.51,33,73,0.9954999999999999,3.17,0.63
7.7,0.62,25,45,0.9978,3.34,0.53
10.2,0.42000000000000004,4,10,0.9971,3.04,0.63
