fixed acidity,volatile acidity,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
7,0.27,45,170,1.001,3,0.45
6.3,0.3,14,132,0.994,3.3,0.49
8.1,0.28,30,97,0.9951,3.2600000000000002,0.44
7.2,0.23,47,186,0.9956,3.19,0.4
7.2,0.23,47,186,0.9956,3.19,0.4
8.1,0.28,30,97,0.9951,3.2600000000000002,0.44
6.2,0.32,30,136,0.9949,3.18,0.47000000000000003
7,0.27,45,170,1.001,3,0.45
6.3,0.3,14,132,0.994,3.3,0.49
8.1,0.22,28,129,0.9938,3.22,0.45
8.1,0.27,11,63,0.9908,2.9899999999999998,0.56
8.6,0.23,17,109,0.9947,3.14,0.53
7.9,0.18,16,75,0.992,3.18,0.63
6.6,0.16,48,143,0.9912,3.54,0.52
8.3,0.42000000000000004,41,172,1.0002,2.98,0.6699999999999999
6.6,0.17,28,112,0.9914,3.25,0.55
6.3,0.48000000000000004,30,99,0.9928,3.24,0.36
6.2,0.6599999999999999,29,75,0.9892,3.3299999999999996,0.39
7.4,0.33999999999999997,17,171,0.9917,3.12,0.53
6.5,0.31,34,133,0.9954999999999999,3.22,0.5
6.2,0.6599999999999999,29,75,0.9892,3.3299999999999996,0.39
6.4,0.31,19,102,0.9912,3.17,0.35
6.8,0.26,41,122,0.993,3.4699999999999998,0.48000000000000004
7.6,0.6699999999999999,25,168,0.9937,3.05,0.51
6.6,0.27,16,142,0.9951,3.42,0.47000000000000003
7,0.25,56,245,0.9954999999999999,3.25,0.5
6.9,0.24000000000000002,35,146,0.993,3.4499999999999997,0.44
7,0.28,32,141,0.9961,3.38,0.53
7.4,0.27,17,132,0.9914,3.19,0.49
7.2,0.32,37,114,0.9906,3.1,0.71
8.5,0.24000000000000002,20,142,0.9974,3.2,0.53
8.3,0.14,7,47,0.9934,3.4699999999999998,0.4
7.4,0.25,31,100,0.992,3.19,0.44
6.2,0.12000000000000001,43,117,0.9939,3.42,0.51
5.8,0.27,22,179,0.9962,3.3699999999999997,0.37
7.3,0.28,21,123,0.9904999999999999,3.19,0.42000000000000004
6.5,0.39,25,149,0.9934,3.24,0.35
7,0.32999999999999996,38,138,0.9906,3.13,0.28
7.3,0.24000000000000002,45,149,0.9999,3.21,0.36
7.3,0.24000000000000002,45,149,0.9999,3.21,0.36
6.7,0.23,63,158,0.9937,3.11,0.36
6.7,0.24000000000000002,63,157,0.9937,3.1,0.33999999999999997
7,0.31,28,160,0.9954,3.13,0.46
6.6,0.24000000000000002,33,152,0.9934,3.22,0.56
6.7,0.23,33,154,0.9934,3.24,0.56
7.4,0.18,38,167,0.9931,3.16,0.53
6.2,0.45,63,206,0.994,3.27,0.52
6.2,0.46,62,207,0.9939,3.25,0.52
7,0.31,28,160,0.9954,3.13,0.46
6.9,0.19,32,150,0.995,3.36,0.48000000000000004
7.2,0.19,31,173,0.9917,3.3499999999999996,0.44
6.6,0.25,39,124,0.9914,3.34,0.58
6.2,0.16,21,82,0.991,3.32,0.46
6.4,0.18,39,108,0.9911,3.3099999999999996,0.35
6.8,0.2,38,132,0.993,3.05,0.38
6.9,0.25,29,191,0.9908,3.13,0.52
7.2,0.21000000000000002,37,213,0.9962,3.09,0.5
6,0.19,50,147,0.9972,3.3,0.36
6.6,0.38,25,78,0.9931,3.11,0.38
7.4,0.2,44,111,0.9926,3.36,0.33999999999999997
6.8,0.22,30,123,0.9951,3.03,0.46
6,0.19,50,147,0.9972,3.3,0.36
7,0.47000000000000003,17,151,0.991,3.02,0.33999999999999997
6.6,0.38,25,78,0.9931,3.11,0.38
7.2,0.24000000000000002,31,122,0.9927,3.15,0.46
6.2,0.35,29,120,0.9934,3.22,0.54
6.4,0.26,27,124,0.9903,3.22,0.49
6.7,0.25,81,174,0.992,3.14,0.42000000000000004
6.7,0.23,30,96,0.9926,3.3299999999999996,0.64
7.4,0.24000000000000002,21,105,0.9962,3.13,0.35
6.2,0.27,48,244,0.9956,3.1,0.51
6.8,0.3,50.5,238.5,0.9958,3.32,0.6
6,0.27,31,201,0.9964,3.69,0.71
8.6,0.23,9,72,0.9941,2.9499999999999997,0.49
6.7,0.23,30,96,0.9926,3.3299999999999996,0.64
7.4,0.24000000000000002,21,105,0.9962,3.13,0.35
7.1,0.18,31,87,0.9898,3.2600000000000002,0.37
7,0.32,20,69,0.9912,3.3099999999999996,0.65
7.4,0.18,26,103,0.9961,2.94,0.56
6.7,0.54,21,105,0.9949,3.27,0.37
6.8,0.22,34,114,0.9929,3.3899999999999997,0.77
7.1,0.2,51,166,0.9984999999999999,3.21,0.6
7.1,0.33999999999999997,47,164,0.9946,3.17,0.42000000000000004
7.3,0.22,42,207,0.9966,3.3299999999999996,0.46
7.1,0.43000000000000005,54,155,0.9974,3.11,0.45
7.1,0.44,52,152,0.9974999999999999,3.12,0.46
7.2,0.39,55,156,0.9974,3.09,0.44
6.8,0.25,69,202,0.9972,3.22,0.48000000000000004
7.1,0.43000000000000005,54,155,0.9974,3.11,0.45
7.1,0.44,52,152,0.9974999999999999,3.12,0.46
7.2,0.39,55,156,0.9974,3.09,0.44
