"age" "price"
"1" 13 2950
"2" 14 2300
"3" 14 3900
"4" 12 2800
"5" 9 5000
"6" 15 2999
"7" 10 3950
"8" 14 2995
"9" 9 4500
"10" 14 2800
"11" 13 1990
"12" 12 3500
"13" 9 5100
"14" 10 3900
"15" 15 2900
"16" 11 4950
"17" 15 2000
"18" 11 3400
"19" 7 8999
"20" 13 4000
"21" 13 2950
"22" 10 3250
"23" 9 3950
"24" 6 4600
"25" 11 4500
"26" 15 1600
"27" 13 3900
"28" 10 4200
"29" 9 6500
"30" 9 3500
"31" 15 2999
"32" 14 2600
"33" 14 3250
"34" 10 2500
"35" 14 2400
"36" 11 3990
"37" 13 4600
"38" 14 450
"39" 10 4700
