"Maxtemp" "Modst" "Modsp" "Modthik"
"1" 14.3 288.6 1000.8 5591.2
"2" 15.2 284.6 1010.8 5438.6
"3" 18.7 285.7 1011 5505.2
"4" 18.4 285.8 1004.5 5560.3
"5" 20.9 286.5 1002.9 5530.8
"6" 23.4 287.6 1003.4 5558.3
"7" 18.5 286.3 1005.4 5474.6
"8" 17.9 285.3 1013.8 5532.6
"9" 22.3 285.9 1015 5535.2
"10" 20 287.9 1005.6 5550.6
"11" 17.6 287.1 1014.9 5401.6
"12" 21.7 285.3 1013.9 5503.5
"13" 19.1 286.7 1015.5 5516.2
"14" 20.7 286.3 1015 5514.3
"15" 21.4 286.3 1011.4 5502
"16" 21.1 286.2 1012.9 5548.4
"17" 18.3 287.4 1011.4 5532.2
"18" 19.2 286.4 1013.3 5510.5
"19" 19.8 287.7 1013.6 5492.3
"20" 20.6 288.7 1014.1 5501.6
"21" 16.5 288.6 1010.3 5490.1
"22" 18 288.3 1011 5524.5
"23" 21.8 288.4 1008.3 5571.6
"24" 23.5 290 1007.5 5606.6
"25" 19.6 290.1 1005.2 5610.3
"26" 17.6 287.1 1011.8 5465
"27" 14.6 284.5 1015.5 5462.6
"28" 16.8 284.2 1020 5466.7
"29" 18.1 285.5 1016.2 5455.3
"30" 20 287.2 1013.5 5468.8
"31" 23.1 287.4 1011.6 5557.7
"32" 17 288.8 1004.8 5587.4
"33" 16.8 287 1005.9 5433.4
"34" 18.3 285.9 1012.2 5502.3
"35" 16.8 286.2 1009 5482
"36" 16.7 286.6 1015 5455.1
"37" 18.3 288.6 999.2 5472.8
"38" 21.8 286.7 995 5479.7
"39" 21.4 287.6 993.7 5485.8
"40" 17.6 287.2 997.1 5505.8
"41" 20.4 287.8 1000.4 5583.6
"42" 22.8 288.9 996.3 5586.2
"43" 19.2 287.7 1005.3 5452.1
"44" 19.2 285.6 1010.1 5424.9
"45" 17.3 285.5 1011.8 5465.8
"46" 19.1 287.5 1013.1 5506.1
"47" 19.4 288.1 1012 5507.8
"48" 17.9 286.6 1014.8 5529.5
"49" 20.3 286.9 1012.8 5531.9
"50" 22.4 287.4 1012.6 5548
"51" 27.3 289.4 1014.1 5570.1
"52" 29 289.9 1014.2 5563.2
"53" 29.7 290.3 1012.8 5567.1
"54" 18.1 290.3 1008.5 5600.6
"55" 21.6 290.2 1011.1 5592
"56" 22.7 290.7 998.9 5607.2
"57" 19.2 287.7 999.7 5471.4
"58" 21.7 287.4 1008.3 5527.2
"59" 21.8 289 1008 5611.7
"60" 28.3 291 1005.7 5639.8
"61" 34.9 291.8 997.2 5689.1
"62" 21.1 290.7 994.2 5600.7
"63" 15.6 288.2 1009.2 5412.4
"64" 18.2 285.4 1013.2 5429.4
"65" 20.3 287.1 1012.4 5470.2
"66" 22.4 289.6 1010.7 5505.8
"67" 21 289.6 1010.3 5508.8
"68" 23.6 289.6 1004 5565.7
"69" 21.2 291.4 997.1 5622.5
"70" 25.7 291.8 996.1 5643.6
"71" 24.3 289.7 994.9 5560.1
"72" 25.2 289.2 1003 5547.8
"73" 19.7 290.1 1003.4 5517.4
"74" 20.5 288.4 1008.2 5452.9
"75" 22.6 288.9 1007.5 5516.1
"76" 25.7 290.4 1004.1 5567.9
"77" 29.4 291.1 995.6 5612.2
"78" 23.6 289.1 995.8 5510.4
"79" 20.7 288.9 1004.4 5564.4
"80" 22.3 289.4 999.1 5628.7
"81" 20.2 290.3 989.5 5612.2
"82" 20.2 288.8 1005.9 5531.4
"83" 20.9 289.1 1012.5 5484.1
"84" 17.3 285.6 1013.9 5434.5
"85" 15 286.3 1017.8 5439.3
"86" 14.3 285 1020.6 5416.2
"87" 15.2 284.6 1020.2 5464.8
"88" 20.4 285.7 1021 5509.7
"89" 19.8 286.9 1015.6 5502.6
"90" 14.8 287.6 1017.7 5370.9
"91" 13.8 285 1022.5 5315.8
"92" 14.5 284.9 1029.2 5383.3
"93" 18.2 285.7 1031.7 5422.2
"94" 22.3 286.6 1028.8 5483.5
"95" 24 288.5 1019.3 5515.6
"96" 16.2 288.1 1022.7 5360.8
"97" 15.9 286 1026.4 5411.3
"98" 17.7 285.8 1029.3 5435.4
"99" 16.4 286.1 1023.2 5421.3
"100" 14.3 285.1 1021.2 5380.4
"101" 15.3 288 1026.8 5388.3
"102" 15.6 287.8 1026.5 5397
"103" 18.8 289 1019.2 5442.3
"104" 19.6 286.6 1019.7 5481.8
"105" 23.9 287.4 1017.2 5494.7
"106" 20.8 288 1030 5515.9
"107" 21.5 287.7 1029.5 5525.9
"108" 27 288.2 1024.1 5553
"109" 19.2 289.9 1018.2 5526.7
"110" 17.4 291 1024 5453.4
"111" 18.9 289.4 1024.5 5462.1
"112" 23 288.2 1024.2 5500.8
"113" 21 289.3 1025.8 5518.7
"114" 28.6 288.1 1024.2 5538.9
"115" 22.3 290.7 1019 5560.4
"116" 25.8 291.4 1020.2 5514.3
"117" 21.7 291 1010.7 5537.5
"118" 14.7 288.9 1021.1 5409.8
"119" 16.9 287.5 1023 5491.1
"120" 16.7 287.4 1017.2 5451.7
"121" 17.8 288.4 1020.5 5439
"122" 21.1 288.9 1023.4 5512.3
"123" 25.9 288.4 1016.5 5570
"124" 25.6 290.6 1009.1 5532.1
"125" 19.4 291.3 1010.8 5490.3
"126" 19.1 288.8 1014.5 5473.9
"127" 24.3 289.7 1012.4 5500.9
"128" 20.3 290.1 1016.4 5462.4
"129" 25.2 288.5 1014.3 5525.4
"130" 17.9 290.3 1011.9 5402.7
"131" 19.5 289.2 1013.8 5333.1
"132" 13.6 286.9 1010.2 5362.6
"133" 23.5 287 1018.6 5470.8
"134" 29.1 287.9 1010.6 5524.2
"135" 23.7 290.8 1008 5480.1
"136" 17.2 290 1011.1 5463.3
"137" 22.2 288.6 1011 5456
"138" 16.5 288.6 1002.6 5375.5
"139" 21.9 285.9 1004.6 5405.2
"140" 26.8 287.7 1004.6 5499.8
"141" 23.7 291.3 1004.1 5459.5
"142" 19.5 289.4 1014.6 5522.3
"143" 24.9 289.7 1004.8 5639.8
"144" 25.1 290.3 1006 5494.1
"145" 29.6 291.3 1005.3 5554.6
"146" 21.2 292.4 1008 5497.4
"147" 27.2 290.5 1012.6 5528.6
"148" 26.8 291.7 998.2 5645.5
"149" 18.8 291.7 1007.9 5384.3
"150" 17.6 288.2 1012.2 5431.8
"151" 23.6 289.2 1020.2 5534.3
"152" 25.5 291 1014.8 5543.8
"153" 18.1 293.1 1020.9 5454.5
"154" 18.7 289.2 1017.9 5478.7
"155" 19.4 290.7 1020.3 5516.4
"156" 25 290.9 1021.5 5575.3
"157" 33.3 292.2 1012.5 5630.5
"158" 19.9 295.2 1013.2 5571.1
"159" 17.4 291.3 1012 5563.2
"160" 21 291.4 1006.7 5556.4
"161" 16.5 291 1011.8 5470.6
"162" 18.1 289.7 1022.4 5463.3
"163" 20.5 289.7 1022.4 5451.6
"164" 22.2 290.3 1021 5502
"165" 25 291.4 1021.1 5577.7
"166" 30 292.5 1019.1 5623.1
"167" 22.4 294.2 1013.5 5625.7
"168" 25 293.2 1004.5 5657.2
"169" 19.6 294.4 1011.6 5493
"170" 22.6 290 1013.1 5475.7
"171" 22.5 289.1 1018.2 5524.3
"172" 19.3 286.1 1016 5442.2
"173" 15.5 285.6 1014.8 5374.1
"174" 17.4 284.6 1022.1 5440.1
"175" 15.5 285.8 1024.2 5444.9
"176" 15.6 285.2 1020.3 5457.1
"177" 15.8 284.6 1015 5362.9
"178" 13.3 285.1 1013.7 5344.5
"179" 13.7 284.6 1019.6 5366.7
"180" 13.7 285.2 1026.1 5436.2
"181" 17.2 287.1 1031.9 5469.1
"182" 18.9 285.9 1031.3 5472.1
"183" 17.4 287.3 1029.7 5483.2
"184" 19.6 287.1 1028.7 5507.2
"185" 19.5 287.3 1027.5 5490.3
"186" 22.7 288.6 1028.6 5521.1
"187" 27.4 288.1 1027.2 5607.1
"188" 27.3 289.6 1024.9 5642
"189" 25 290.4 1023.7 5634.6
"190" 26.2 289.6 1020 5655.6
"191" 27.2 289.4 1014.9 5636.6
"192" 19.3 291.2 1014.6 5629.3
"193" 29.3 289.7 1016.3 5611.7
"194" 19.8 290.2 1026.3 5598.8
"195" 24.5 289.1 1023.2 5602.3
"196" 30.9 290 1024.2 5585.4
"197" 24.2 291 1023.4 5573.9
"198" 18.5 289.9 1030.1 5494.9
"199" 21.9 287.8 1028.2 5551.7
"200" 29.3 288.9 1017 5624.5
"201" 30.5 290.3 1011.1 5575.5
"202" 20.2 290.9 1011.1 5541.7
